Country,Year,Undernourishment,ChildWasting,ChildStunting,ChildMortality,GHI_Score
Côte d'Ivoire,2016,11.5,6.1,25.6,8.4,22.3
Croatia,2016,1.25,1.0,3.4000000953674316,0.5,2.5
Dem. Rep. of the Congo,2016,32.3,7.3,42.5,9.2,36.4
Djibouti,2016,12.7,13.1,25.1,6.3,24.6
Dominican Republic,2016,6.7,1.4,7.4,3.5,8.6
Ecuador,2016,9.5,1.6,21.1,1.5,11.3
Egypt,2016,6.6,9.5,18.1,2.2,14.5
El Salvador,2016,8.4,2.1,12.3,1.4,8.9
Estonia,2016,1.25,1.5,1.3,0.3,2.5
Eswatini,2016,16.3,2.0,24.1,5.5,18.9
Ethiopia,2016,13.0,10.0,38.8,6.2,26.1
Fiji,2016,7.5,7.0,6.6,2.2,10.6
Gabon,2016,15.3,3.5,15.5,4.2,16.1
Gambia,2016,12.8,6.1,19.5,5.7,18.8
Georgia,2016,6.6,0.6,7.0,1.0,5.7
Ghana,2016,9.5,5.8,19.2,5.0,16.5
Guatemala,2016,14.6,1.9,46.4,2.7,20.8
Guinea,2016,14.0,8.1,31.2,11.2,28.4
Guinea-Bissau,2016,19.8,6.0,27.8,8.8,26.6
Guyana,2016,3.4,6.4,11.3,3.2,10.7
Haiti,2016,38.7,3.7,22.0,6.8,29.9
Honduras,2016,13.7,1.3,20.3,2.0,13.1
Hungary,2016,1.25,0.8,2.4000000953674316,0.5,2.5
India,2016,11.6,20.8,37.7,4.1,29.3
Indonesia,2016,6.6,10.5,29.8,2.6,18.2
Iran (Islamic Republic of),2016,7.7,4.3,5.3,1.5,8.3
Iraq,2016,16.1,3.0,15.2,2.8,14.7
Jamaica,2016,7.6,3.3,6.4,1.9,8.3
Jordan,2016,8.0,1.8,7.9,1.6,7.7
Kazakhstan,2016,1.25,3.1,8.1,1.1,5.7
Kenya,2016,22.2,6.7,24.3,4.6,23.1
Korea (DPR),2016,46.0,2.5,21.4,2.1,27.6
Kuwait,2016,1.25,2.3,4.9,0.9,2.5
Kyrgyzstan,2016,5.9,2.4,13.0,2.1,8.9
Latvia,2016,1.25,1.7,1.9,0.5,2.5
Lebanon,2016,5.7,2.2,9.7,1.3,7.1
Liberia,2016,35.1,4.3,31.3,8.8,32.9
Libya,2016,11.0,10.2,20.4,1.3,16.3
Lithuania,2016,1.25,4.2,1.7,0.5,2.5
Madagascar,2016,35.0,6.4,44.6,6.6,35.0
Malawi,2016,16.7,3.6,37.9,5.4,23.1
Malaysia,2016,3.3,11.6,20.0,0.8,13.4
Mali,2016,4.5,10.6,26.4,11.2,24.7
Mauritania,2016,6.7,14.8,23.7,4.7,21.2
Mauritius,2016,7.2,11.7,8.0,1.5,12.8
Mexico,2016,3.7,2.0,12.6,1.6,7.1
Mongolia,2016,8.1,1.2,9.5,1.8,8.0
Montenegro,2016,1.25,2.9,8.2,0.4,2.5
Morocco,2016,3.7,2.6,14.6,2.2,8.6
Mozambique,2016,41.6,4.4,40.8,7.2,36.4
Myanmar,2016,3.8,6.6,28.6,4.9,16.8
Namibia,2016,20.6,6.1,20.4,5.4,22.0
Nepal,2016,5.9,11.7,34.2,3.6,20.6
Nicaragua,2016,16.3,1.4,15.899999618530273,1.8,13.1
Niger,2016,12.0,10.4,44.7,12.5,33.3
Nigeria,2016,10.8,9.1,35.4,12.5,29.9
North Macedonia,2016,3.2,2.3,4.6,1.1,2.5
Oman,2016,7.2,9.3,11.8,1.1,12.0
Pakistan,2016,11.5,7.1,40.7,7.3,25.4
Panama,2016,6.7,1.1,17.7,1.7,9.2
Papua New Guinea,2016,28.2,7.2,47.6,5.0,31.9
Paraguay,2016,2.6,1.0,6.3,2.1,5.2
Peru,2016,6.2,0.8,14.0,1.7,8.0
Philippines,2016,9.7,6.8,30.4,2.8,17.7
Romania,2016,1.25,3.4,8.0,0.9,2.5
Russian Federation,2016,1.25,3.1,11.100000381469727,0.8,5.5
Rwanda,2016,33.7,2.2,35.8,4.6,28.2
Saudi Arabia,2016,1.25,3.4,12.2,0.9,6.6
Senegal,2016,8.9,7.1,18.1,5.1,16.8
Serbia,2016,1.25,3.9,5.6,0.6,2.5
Sierra Leone,2016,24.5,5.9,30.2,12.3,32.4
Slovakia,2016,5.3,1.0,3.5,0.6,2.5
Solomon Islands,2016,18.0,8.5,30.5,2.5,21.8
